epoch	empirical_loss	empirical_acc	predictive_loss	predictive_acc
0	2.29967403412	0.131676197052	2.29958820343	0.135199993849
1	0.436892986298	0.939904749393	0.455934166908	0.934914290905
2	0.323605895042	0.957638084888	0.350139826536	0.950285732746
3	0.255578070879	0.965219020844	0.281839996576	0.956514298916
4	0.224817737937	0.965752363205	0.253557473421	0.956457138062
5	0.205600917339	0.972495257854	0.236938253045	0.963542878628
6	0.180864647031	0.976152360439	0.211971387267	0.967599987984
7	0.157067924738	0.978476166725	0.192146345973	0.968228578568
8	0.158352866769	0.978552401066	0.195433974266	0.969428598881
9	0.145698860288	0.980819046497	0.182170704007	0.970457136631
10	0.135599002242	0.98264759779	0.174507334828	0.97257143259
11	0.126524850726	0.983561933041	0.166068136692	0.973542869091
12	0.122102156281	0.984019041061	0.163117513061	0.972514271736
13	0.120132900774	0.985847592354	0.161761462688	0.973999977112
14	0.109056457877	0.986609518528	0.151866868138	0.975085735321
15	0.117453187704	0.984933316708	0.158261299133	0.97411429882
16	0.100460097194	0.98727619648	0.144778817892	0.976171433926
17	0.0954858660698	0.988209545612	0.141591310501	0.975942850113
18	0.0903401002288	0.988133311272	0.136797621846	0.976342856884
19	0.0898903533816	0.988723814487	0.139023467898	0.975600004196
20	0.0804320648313	0.989371418953	0.128326117992	0.976800024509
21	0.082148604095	0.989428579807	0.133630096912	0.975828588009
22	0.0832319557667	0.990342855453	0.131564542651	0.978171408176
23	0.0787118300796	0.989314258099	0.130545467138	0.975885689259
24	0.073500841856	0.990304768085	0.123079448938	0.978228569031
25	0.0667043030262	0.991123795509	0.118889369071	0.977942883968
26	0.0634757429361	0.991809546947	0.115499459207	0.979028582573
27	0.066964559257	0.991123795509	0.122239604592	0.977314293385
28	0.0657009184361	0.991771399975	0.118362627923	0.978571414948
29	0.0629220157862	0.992304742336	0.116628400981	0.978914260864
30	0.0633060410619	0.992419064045	0.118426203728	0.979257166386
31	0.0564076565206	0.992723822594	0.11198014766	0.979200005531
32	0.0560542009771	0.993390500546	0.112715899944	0.978914260864
33	0.055537391454	0.993028581142	0.112785249949	0.979542851448
34	0.0495524965227	0.993409514427	0.105020031333	0.980457127094
35	0.0569208040833	0.993352353573	0.114448063076	0.978514313698
36	0.047318585217	0.994038105011	0.106898516417	0.979600012302
37	0.0513496920466	0.993923783302	0.111767813563	0.978742837906
38	0.0470582582057	0.994552373886	0.107534475625	0.978857159615
39	0.0481864996254	0.994057118893	0.10927464813	0.979714274406
40	0.0459333918989	0.994209527969	0.106189638376	0.979142844677
41	0.0441100932658	0.993980944157	0.10586104542	0.979942858219
42	0.0485846251249	0.994400024414	0.109121099114	0.980171442032
43	0.0417241044343	0.994761884212	0.103197619319	0.98034286499
44	0.0392843931913	0.994323790073	0.102575048804	0.979828596115
45	0.0400064587593	0.995352387428	0.103280968964	0.980171442032
46	0.0385970473289	0.995104789734	0.102904766798	0.981142878532
47	0.0367720536888	0.995447635651	0.0997794941068	0.980457127094
48	0.0386874303222	0.995542883873	0.103448562324	0.979485690594
49	0.0351248458028	0.995790481567	0.0975314751267	0.980857133865
50	0.0340424627066	0.995676219463	0.0981045588851	0.98091429472
51	0.0362440943718	0.995714306831	0.102926596999	0.979428589344
52	0.0325709655881	0.995390474796	0.0999673530459	0.979714274406
53	0.0336275845766	0.995790481567	0.100420884788	0.981085717678
54	0.0335471630096	0.99615240097	0.103130251169	0.979942858219
55	0.0306545812637	0.99620950222	0.0978046581149	0.980742871761
56	0.0298340339214	0.99607616663	0.096835680306	0.980628550053
57	0.0320613905787	0.996285736561	0.101375296712	0.980857133865
58	0.0310061126947	0.995866656303	0.0994786024094	0.980685710907
59	0.033964715898	0.996266663074	0.102766133845	0.980857133865
60	0.0314968712628	0.996685743332	0.099426522851	0.981257140636
61	0.0293633006513	0.99691426754	0.0964457690716	0.980628550053
62	0.0273264683783	0.996609508991	0.0958923995495	0.98137140274
63	0.0279368683696	0.99685716629	0.0949327647686	0.981714308262
64	0.0277263112366	0.996419072151	0.097145922482	0.980228543282
65	0.0299530774355	0.996666669846	0.0994635373354	0.980799973011
66	0.0254665650427	0.99691426754	0.094178058207	0.981028556824
67	0.0239584166557	0.997180938721	0.0967484116554	0.980971455574
68	0.02478300035	0.997238099575	0.0978593304753	0.98091429472
69	0.0252512972802	0.99704760313	0.0950143784285	0.982228577137
70	0.0238070264459	0.997314274311	0.0939687341452	0.982228577137
71	0.0229297634214	0.997200012207	0.0921639278531	0.982514262199
72	0.0223435349762	0.997123837471	0.0944797471166	0.981599986553
73	0.023689750582	0.99761903286	0.0924119204283	0.981599986553
74	0.0218875855207	0.997142851353	0.0979532748461	0.980685710907
75	0.0242165178061	0.997409522533	0.0984038636088	0.980857133865
76	0.0216629039496	0.997676193714	0.0931466221809	0.981828570366
77	0.0193840358406	0.9976952672	0.0935165882111	0.982057154179
78	0.0198154468089	0.997714281082	0.0939346253872	0.981714308262
79	0.0204812455922	0.99742859602	0.0949133560061	0.982114315033
80	0.0201188884676	0.997657120228	0.0930100753903	0.981085717678
81	0.0205842331052	0.997771441936	0.0908182039857	0.982400000095
82	0.0184475295246	0.997942864895	0.0908779352903	0.982285737991
83	0.0175855979323	0.997828543186	0.0921387672424	0.982171416283
84	0.0191448479891	0.99775236845	0.0928132757545	0.981542885303
85	0.0179826915264	0.997980952263	0.0914649441838	0.983200013638
86	0.0159366801381	0.998057126999	0.0902287364006	0.98194283247
87	0.0171888675541	0.997714281082	0.0960760638118	0.981199979782
88	0.0172414239496	0.998038113117	0.0930645912886	0.982285737991
89	0.0172532852739	0.998152375221	0.0951140969992	0.981828570366
